no,ra,dec,U,B,V,Teff,Mv,SpecType ,
130,75.03424792,3.286673333,--,8.75,7.503,4218.528121,-0.212590114,b'K1/2III',
163,85.40995458,-2.259021944,7.32,7.94,7.83,8932.110185,-0.176828454,b'B3IV',
212,85.25955417,-2.716869722,7.67,7.93,7.9,9765.806558,-0.119177592,b'B9/9.5II/III',
216,80.95982958,2.082173333,--,7.78,7.91,12103.29467,0.137242419,b'B7IV',
0,82.86414875,-3.677228889,10.626,9.443,7.968,3831.501072,9.187071782,b'M1.5Ve',
37,86.77611083,-10.63022972,--,8.55,7.98,6087.54626,3.997149981,b'F8V',
141,83.3585725,0.621365,--,7.94,8.05,11743.77545,0.078865698,b'B8V',
47,86.99656417,-8.3277,--,9.14,8.27,5078.230324,3.482622074,b'G8IV',
54,88.3291475,22.07215111,--,8.94,8.38,6128.713551,3.379153075,b'F8',
233,95.55496917,14.67812639,--,9.34,8.42,4943.40567,-2.857752636,b'F4Ib',
153,76.12494917,-3.787301667,10.25,10.93,8.7,2947.957712,1.15708845,b'A4IVe',
100,86.07831208,0.144558333,9.44,9.22,8.87,7158.200234,1.305267329,b'A7V',
4,84.12912667,11.32786861,11.508,10.276,8.898,3986.740567,8.608776963,b'K6V',
32,80.83984875,-2.277620278,--,9.73,8.94,5311.003779,5.204361782,b'G0',
158,90.118105,10.21805778,--,9.4,9.15,7795.184395,0.394155583,b'A2e',
191,77.81044,-8.556836944,--,10.02,9.46,6128.709597,3.228528007,b'G1V:',
8,88.25118583,-5.994844722,12.27,11.041,9.693,4037.44536,8.154964877,b'K7V/M0V',
110,79.00198542,-9.809831389,10.19,10.16,9.84,7337.081124,2.392926257,b'B9.5V',
151,82.28497,11.870185,--,10.83,10.1,5501.094469,2.046716938,b'G5/8Ve',
10,74.8951425,1.783519167,--,11.48,10.107,3995.100812,8.170384645,b'M0Ve',
207,81.17834667,1.730069167,10.55,10.45,10.17,7591.385776,2.517637472,b'A8V',
167,81.90973,11.42747861,12.96,12.33,10.3,3138.554382,2.108639371,b'F7Ve',
7,83.43666667,1.945403333,13.956,12.51,11.499,4716.480319,10.50806516,b'M3.0V',
1,85.538615,12.48933444,14.264,13.13,11.509,3620.141217,12.69516224,b'M4V',
5,73.02388375,6.476552222,14.791,13.568,12.018,3719.81818,11.54865893,b'M2V',
